Material, Spectra
Cardboard - Brown (1mm),"[642.82, 248.32, 418.36, 160.79, 276.2, 349.5, 208.02, 239.6, 149.56, 65.9, 239.08, 110.99, 559.92, 222.97, 87.13, 71.58, 232.38, 591.04]"
Cardboard - Brown (2mm),"[561.43, 211.16, 348.48, 139.41, 234.2, 299.73, 184.15, 225.95, 146.37, 64.21, 242.07, 112.91, 540.83, 219.29, 86.28, 70.73, 229.17, 592.95]"
Cardboard - White (1mm),"[3035.47, 1045.34, 1702.47, 700.04, 1044.29, 1174.36, 718.65, 788.87, 527.66, 201.49, 428.97, 199.6, 1706.96, 672.99, 237.48, 181.51, 491.48, 1101.06]"
Construction Paper - Black,"[585.39, 175.66, 256.82, 103.16, 159.55, 169.77, 86.44, 99.06, 61.56, 106.95, 337.21, 146.4, 183.2, 219.29, 199.72, 140.27, 327.71, 858.0]"
Construction Paper - Purple,"[1150.98, 488.73, 831.09, 268.6, 342.43, 334.36, 193.07, 213.57, 321.64, 253.44, 335.65, 154.05, 579.67, 784.27, 300.18, 193.44, 356.77, 853.93]"
Construction Paper - Blue,"[1110.38, 468.13, 816.02, 314.51, 379.6, 333.14, 148.79, 159.92, 180.11, 242.97, 332.41, 153.1, 347.75, 667.68, 310.26, 196.85, 349.46, 865.17]"
Construction Paper - Green,"[747.38, 237.1, 378.43, 272.32, 525.31, 527.18, 260.22, 246.38, 115.36, 211.63, 333.7, 151.18, 358.51, 439.2, 301.72, 192.59, 357.48, 868.99]"
Construction Paper - Yellow,"[726.39, 248.32, 350.29, 315.81, 776.22, 946.22, 666.0, 909.63, 749.63, 254.88, 357.97, 172.23, 2205.66, 871.25, 286.51, 200.09, 450.32, 928.27]"
Construction Paper - Orange,"[848.18, 293.39, 433.24, 266.74, 395.11, 410.45, 273.49, 615.52, 856.41, 277.02, 344.48, 166.49, 2508.22, 957.01, 310.26, 210.31, 439.98, 905.32]"
Construction Paper - Pink,"[1166.82, 545.57, 929.83, 361.35, 472.62, 515.31, 366.07, 726.65, 838.81, 274.99, 344.48, 167.45, 2481.24, 945.78, 307.53, 211.17, 445.15, 890.02]"
Paper - White,"[2267.3, 1466.56, 2006.66, 860.63, 1027.13, 1069.63, 633.09, 673.3, 429.62, 182.48, 413.66, 192.33, 1445.21, 606.83, 220.4, 167.02, 457.09, 1055.17]"
Food Wrapping - Semi-Clear,"[3143.4, 1258.16, 1911.55, 642.78, 998.53, 1204.63, 614.58, 647.16, 359.49, 164.49, 362.26, 159.6, 1197.07, 512.5, 186.91, 145.04, 394.9, 859.67]"
Single-Use Bag - Semi-Clear,"[3762.26, 1312.6, 2123.54, 761.19, 1267.05, 1562.58, 459.54, 587.58, 425.61, 167.1, 388.09, 177.59, 1435.34, 594.58, 216.81, 161.91, 450.14, 960.29]"
Styrofoam - White,"[2590.69, 1099.23, 1644.75, 664.34, 916.5, 997.36, 597.4, 628.22, 385.85, 169.81, 361.48, 166.49, 1357.23, 537.62, 199.89, 149.98, 407.91, 892.65]"
Thicker Plastic Bag - Semi-Clear,"[3902.27, 1770.8, 3007.63, 1116.41, 2149.24, 2437.21, 598.29, 869.41, 481.6, 205.29, 416.38, 185.63, 3617.97, 876.76, 409.36, 269.97, 621.04, 937.35]"
Plastic Sticker Material - White,"[3575.32, 1252.46, 2012.29, 681.26, 1134.6, 1321.63, 648.26, 697.11, 380.83, 152.49, 404.31, 183.14, 1627.1, 534.96, 194.6, 155.09, 469.57, 1029.84]"
Plastic Food Container - White (PP-5),"[2687.33, 1451.12, 1990.32, 732.75, 1039.02, 1167.68, 595.06, 631.71, 361.13, 140.24, 305.67, 146.4, 1397.38, 482.49, 171.87, 132.94, 365.14, 770.28]"
Plastic Food Container - Blue (PETE-1),"[1772.41, 612.34, 1059.78, 251.87, 513.87, 500.59, 88.78, 74.61, 45.6, 69.27, 171.46, 83.44, 285.22, 132.52, 114.47, 79.25, 184.62, 423.02]"
Plastic Shrimp Bag - White/Grey,"[2008.07, 680.03, 1355.99, 376.04, 724.29, 831.54, 305.84, 346.92, 176.19, 83.55, 312.55, 131.85, 661.5, 199.69, 80.98, 79.93, 277.11, 657.72]"
Plastic Milk Bag - White,"[4370.82, 1326.96, 1972.9, 694.83, 1276.24, 1413.67, 765.6, 973.97, 513.25, 192.53, 296.84, 150.22, 2976.43, 732.4, 287.54, 201.28, 520.35, 740.17]"
Plastic Cider Container - Semi-Clear (HDPE-2),"[1536.55, 471.81, 751.23, 253.92, 409.11, 471.27, 220.29, 248.81, 175.73, 71.39, 99.94, 57.22, 572.86, 222.76, 88.84, 60.67, 120.47, 214.14]"
Ziploc Bag - Clear,"[3983.07, 1278.57, 1772.16, 783.68, 1251.55, 1331.17, 348.11, 573.19, 376.46, 151.56, 360.18, 168.22, 1722.32, 389.78, 191.35, 128.68, 365.68, 563.08]"